stem,fps,frame_num,official_decode_sec,lighttae_decode_sec,speedup_vs_official,raw_frame_mse,raw_frame_psnr_db,mp4_psnr_db,mp4_ssim,baseline_mp4_bytes,lighttae_mp4_bytes
000_subject_consistency_r00_p003_a_person_eating_a_burger,24,121,17.230027759447694,0.21191884763538837,81.30483886498092,40.881412506103516,32.01554468041434,36.330681,0.956708,8192914,11093573
020_aesthetic_quality_r00_p028_origami_dancers_in_white_paper_3d_render_on_white_background_studio_shot_dancing,24,121,16.83108665049076,0.14483499340713024,116.20870243131564,117.88936614990234,27.416057282130147,30.585419,0.962842,7450477,8733116
026_imaging_quality_r02_p035_busy_freeway_at_night,24,121,16.82823678292334,0.14800738357007504,113.69863027783276,103.3539810180664,27.987531513039222,32.621716,0.963241,5297729,7690763
032_multiple_objects_r00_p011_a_couch_and_a_potted_plant,24,121,16.825998982414603,0.14795327931642532,113.72508308132264,52.339290618896484,30.942525287388015,34.394417,0.939787,7438851,9146893
038_human_action_r02_p045_a_person_is_sharpening_knives,24,121,16.825750900432467,0.147349888458848,114.18909831839864,29.264991760253906,33.4673195469609,37.023276,0.966193,7488126,9915905
043_color_r03_p077_a_green_vase,24,121,16.82542990334332,0.14759745821356773,113.99539061843181,21.76801872253418,34.75261458562132,38.425313,0.9731,4750295,5278543
047_spatial_relationship_r03_p068_a_pizza_on_the_top_of_a_donut_front_view,24,121,16.82519018277526,0.14888318814337254,113.00933565832042,24.917383193969727,34.16577929786573,38.87936,0.979304,5024186,5556053
052_temporal_style_r00_p024_a_shark_is_swimming_in_the_ocean_pan_right,24,121,16.82506245188415,0.14744585938751698,114.11010469724042,31.34351921081543,33.16932603960845,37.677622,0.978715,7870360,8331987
058_appearance_style_r02_p029_a_panda_drinking_coffee_in_a_cafe_in_paris_by_hokusai_in_the_style_of_ukiyo,24,121,16.825396111235023,0.14795881137251854,113.71675640779124,233.35862731933594,24.450564993882377,27.905508,0.915422,8506249,11207008
062_overall_consistency_r02_p029_campfire_at_night_in_a_snowy_forest_with_starry_sky_in_the_background,24,121,16.825240071862936,0.15023304149508476,111.99427172892199,84.5556869506836,28.85937538665161,33.933752,0.962161,6808900,7919062
